.vscode  |  Failed to calculate time  |  [0.5206246505752116, 10.500244427667575, 1.9773758479989951]| 0.14597261518596844 
0.5-0.5-0.5_port-1.txt  |  0.0  |  [-6.568554096352041, 7.872568959835802, -3.124999688402757]| 0.2384547513757085 
0.5-0.5-0.5_port-3.txt  |  0.041666666666666664  |  [-0.8496236828778717, 15.001366624761275, 3.9528381580105036]| 0.3029755080080959 
0.5-0.5-0.5_port-5.txt  |  0.08333333333333333  |  [-4.143715419583144, 28.948784334613954, 8.481924194796024]| 0.3815257145322745 
0.5-0.5-0.5_port-7.txt  |  0.125  |  [13.925987374565725, 31.36851392967205, 22.80202520638748]| 0.5088734022436263 
0.5-0.5-0.5_port-8.txt  |  0.14583333333333334  |  [15.09881807240628, 34.811223758143534, 35.59589134791395]| 1.0398057752199243 
0.5-0.5-0.5_port-9.txt  |  0.6666666666666666  |  [0.3455482656124602, 14.08886766714236, 1.6335181476943834]| 0.09371606992838623 
1-1-1_port-1.txt  |  0.0  |  [-9.298576132362953, 3.6292530728762866, -7.015732252109675]| 0.17658369738734742 
1-1-1_port-3.txt  |  0.020833333333333332  |  [-1.646481147507271, 13.505428951188154, 1.204792467992287]| 0.18817915344845215 
1-1-1_port-5.txt  |  0.041666666666666664  |  [-4.533520699687966, 12.289836570549305, -0.29747494219994314]| 0.25179550606002665 
1-1-1_port-7.txt  |  0.0625  |  [12.299951406935474, 28.182064004644587, 16.491294162888654]| 0.2639033522881428 
1-1-1_port-8.txt  |  0.07291666666666667  |  [13.937419485408403, 30.0516049433242, 23.454879594742756]| 0.5906261991454912 
1-1-1_port-9.txt  |  0.3333333333333333  |  [0.12038863934132073, 17.748763351494137, 1.283738016025381]| 0.06599300251327535 
1.5-1.5-1.5_port-1.txt  |  0.0  |  [-9.511409288727839, 4.339188420536668, -7.343904388718765]| 0.15649179519229373 
1.5-1.5-1.5_port-3.txt  |  0.013888888888888888  |  [-4.531987959611074, 11.891470034457504, -1.1316437250146418]| 0.2070419174710031 
1.5-1.5-1.5_port-5.txt  |  0.027777777777777776  |  [13.602385913389101, 29.121798942196985, 16.861618873715496]| 0.21001006637792613 
1.5-1.5-1.5_port-8.txt  |  0.04861111111111111  |  [16.122161674913457, 35.262393192989876, 26.998972817972746]| 0.5682695704483517 
1.5-1.5-1.5_port-9.txt  |  0.2222222222222222  |  [-1.777927790037038, 2.483839713497003, -1.5772487826194337]| 0.04708821099489653 
2-2-2_port-1.txt  |  0.0  |  [-2.7787893354751683, 2.3140017980359247, -2.5679597579739424]| 0.041397648553451454 
2-2-2_port-2.txt  |  0.005208333333333333  |  [-4.65256171970514, -0.018566853213989747, -4.344561347033958]| 0.06646541084850181 
2-2-2_port-3.txt  |  0.010416666666666666  |  [-4.769548141563572, -0.49812113174833467, -4.509683488729382]| 0.0608379008319822 
2-2-2_port-4.txt  |  0.015625  |  [12.535652904707089, 27.01578213802541, 15.330569005296809]| 0.1930173450495667 
2-2-2_port-8.txt  |  0.036458333333333336  |  [14.718686882833996, 34.35415665985277, 23.798528349115454]| 0.46242038359115023 
